SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
SimaPro9.4,Arsenic,665EA48D-DF6C-4213-911C-CDC2ACDE374D,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Arsenic, ion",8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Arsenic,665EA48D-DF6C-4213-911C-CDC2ACDE374D,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Arsenic, ion",8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Arsenic,665EA48D-DF6C-4213-911C-CDC2ACDE374D,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Arsenic, ion",8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Arsenic,665EA48D-DF6C-4213-911C-CDC2ACDE374D,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Arsenic, ion",e1bd008f-c3c2-47f1-ab60-35e1a842acc0,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Cadmium,7E9DE1E7-ABEB-4849-AB5F-CDA83A1F48A6,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Cadmium, ion",3937f5a5-b4a4-434d-9fc3-1d29064fc3f8,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Cadmium,7E9DE1E7-ABEB-4849-AB5F-CDA83A1F48A6,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Cadmium, ion",4ce23896-a82f-49f1-a8e3-8848734805a3,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Cadmium,7E9DE1E7-ABEB-4849-AB5F-CDA83A1F48A6,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Cadmium, ion",62fcd384-906d-474f-a84b-9f944b78f804,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Cadmium,7E9DE1E7-ABEB-4849-AB5F-CDA83A1F48A6,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Cadmium, ion",af83b42f-a4e6-4457-be74-46a87798f82a,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Cadmium,7E9DE1E7-ABEB-4849-AB5F-CDA83A1F48A6,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Cadmium, ion",af83b42f-a4e6-4457-be74-46a87798f82a,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Cadmium,7E9DE1E7-ABEB-4849-AB5F-CDA83A1F48A6,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Cadmium, ion",af83b42f-a4e6-4457-be74-46a87798f82a,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Cadmium,7E9DE1E7-ABEB-4849-AB5F-CDA83A1F48A6,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Cadmium, ion",2712fe5f-0d3c-4c8e-8bc4-26c604413849,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Calcium,4BF69177-C377-4A35-AEB7-B3179281CB02,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Calcium, ion",1d0f4392-8c91-4d01-8a5d-f8fe1f5b05c9,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Calcium,4BF69177-C377-4A35-AEB7-B3179281CB02,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Calcium, ion",ae28c923-a4a3-4f00-b862-1ae6e748efb9,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Calcium,4BF69177-C377-4A35-AEB7-B3179281CB02,Emissions to water/ocean,kg,=,1.0,ecoinventEFv3.7,"Calcium, ion",55bf893f-0d89-429c-be59-2f99b33ddb11,water/ocean,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Calcium,4BF69177-C377-4A35-AEB7-B3179281CB02,Emissions to water/lake,kg,=,1.0,ecoinventEFv3.7,"Calcium, ion",ac066c02-b403-407b-a1f0-b29ad0f8188f,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Calcium,4BF69177-C377-4A35-AEB7-B3179281CB02,Emissions to water/river,kg,=,1.0,ecoinventEFv3.7,"Calcium, ion",ac066c02-b403-407b-a1f0-b29ad0f8188f,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Calcium,4BF69177-C377-4A35-AEB7-B3179281CB02,"Emissions to water/river, long-term",kg,=,1.0,ecoinventEFv3.7,"Calcium, ion",ac066c02-b403-407b-a1f0-b29ad0f8188f,water/surface water,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Calcium,4BF69177-C377-4A35-AEB7-B3179281CB02,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Calcium, ion",08151735-9d1b-4b1c-a8b1-f341ade54f2f,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Chloride,0185C291-C38B-4330-8636-CB75ED1EC14F,Emissions to water/(unspecified),kg,=,1.0,ecoinventEFv3.7,"Chloride, ion",c4e01cfb-2f50-52d5-8177-1518ad8b7bea,water/unspecified,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Chromium,94C3CD6E-9C3C-448B-912C-53545252C0D0,Emissions to water/groundwater,kg,=,1.0,ecoinventEFv3.7,"Chromium, ion",1c87de06-e58f-4684-a54c-d29f1a251a87,water/ground-,kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
SimaPro9.4,Chromium,94C3CD6E-9C3C-448B-912C-53545252C0D0,"Emissions to water/groundwater, long-term",kg,=,1.0,ecoinventEFv3.7,"Chromium, ion",d9c23a8d-e7bf-4f70-8d22-b9ad8a653204,"water/ground-, long-term",kg,Chris Mutel,,2023-01-10T17:34:41.770018+01:00,Automated match. Notebook: Match - Match emissions with suffix ion,,,
