Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground",007440-50-8,,,kg,geological,,0.0,natural resource/in ground,8508a83c-6a37-4159-93cc-21a2645390ab,,,
Cyclohexane (for all cycloalkanes),000110-82-7,C6H12,,kg,group,,,air/urban air close to ground,2a042136-80fd-4c1c-8996-65a7985497d3,,,
Demeton-S-methylsulfon,017040-19-6,,,kg,chemical,,,soil/agricultural,dae66465-5c82-5b83-b400-2ec6e25b078a,,,17040-19-6
Diborane,019287-45-7,,,kg,chemical,,,"air/low population density, long-term",35087164-f31a-49b4-9518-c559e483fbe6,,,14452-61-0; 19287-45-7
Diborane,019287-45-7,,,kg,chemical,,,air/lower stratosphere + upper troposphere,e3a77fe9-4fa1-4977-93cf-3495b355817f,,,14452-61-0; 19287-45-7
Diborane,019287-45-7,,,kg,chemical,,,air/non-urban air or from high stacks,34ce575e-a338-432a-ab49-f0ac660ff365,,,14452-61-0; 19287-45-7
Diborane,019287-45-7,,,kg,chemical,,,air/unspecified,57655806-a54e-47ca-a8d2-9881813b7afa,,,14452-61-0; 19287-45-7
Diborane,019287-45-7,,,kg,chemical,,,air/urban air close to ground,febe9ac2-ab48-4351-97cb-afcea765d411,,,14452-61-0; 19287-45-7
Diborane,019287-45-7,,,kg,chemical,,,water/ground-,251b1db4-29e6-4312-bc30-ef7ae34aaaa3,,,14452-61-0; 19287-45-7
Diborane,019287-45-7,,,kg,chemical,,,"water/ground-, long-term",ae7a3110-d355-4c01-8a92-02616b28ee29,,,14452-61-0; 19287-45-7
Diborane,019287-45-7,,,kg,chemical,,,water/ocean,16176f2c-6c9e-447b-99fb-e2f1d651c849,,,14452-61-0; 19287-45-7
Diborane,019287-45-7,,,kg,chemical,,,water/surface water,40cb6ea0-d72a-47aa-b186-0c05891187e0,,,14452-61-0; 19287-45-7
Diborane,019287-45-7,,,kg,chemical,,,water/unspecified,5ff293fa-85f0-4d44-b63b-00f651316fad,,,14452-61-0; 19287-45-7
Dissolved solids,,,,kg,other,,,water/ground-,54c743a4-5438-4f3c-8e84-89b3e6ec0cc0,,,
Dissolved solids,,,,kg,other,,,"water/ground-, long-term",bd254636-6538-4bcf-b0e5-62a2e8252b57,,,
Dissolved solids,,,,kg,other,,,water/ocean,901a459c-9a1c-46a0-a785-6ec01a33b04f,,,
Dissolved solids,,,,kg,other,,,water/surface water,cfecebe1-1e13-458d-85bc-d40a9f934927,,,
Dissolved solids,,,,kg,other,,,water/unspecified,5ce634de-b810-4533-9efb-719c38fe7c09,,,
Elemental carbon,007440-44-0,C,,kg,chemical,,,soil/unspecified,bc86067c-20e8-46e7-8419-de1eee73ccdd,,,
Ethylene,000074-85-1,,,kg,chemical,,,air/unspecified,90f722bf-cb9b-571a-88fc-34286632bdc4,,,68037-39-8; 9002-88-4; 74-85-1
"Europium, 0.06% in bastnasite, 0.006% in crude ore, in ground",007440-53-1,,,kg,geological,,0.0,natural resource/in ground,7c954971-4bce-41db-9e8b-2b2f049539d7,,,
Fluoboric acid,016872-11-0,,,kg,chemical,,,water/ground-,876e49fb-b3d6-48ca-8acc-473f8ee05aad,,,16872-11-0
Fluoboric acid,016872-11-0,,,kg,chemical,,,"water/ground-, long-term",c0b35c79-b073-40b6-931b-dfac9703acae,,,16872-11-0
Fluoboric acid,016872-11-0,,,kg,chemical,,,water/ocean,969e148a-eeb1-4d37-b388-8cee13212281,,,16872-11-0
Fluoboric acid,016872-11-0,,,kg,chemical,,,water/surface water,88eaa159-4194-49eb-9905-9b937e644fb8,,,16872-11-0
Fluoboric acid,016872-11-0,,,kg,chemical,,,water/unspecified,19b0229f-7cda-4154-baee-c1b1efef532a,,,16872-11-0
"Fluorine, 4.5% in apatite, 1% in crude ore, in ground",007782-41-4,,,kg,geological,,0.0,natural resource/in ground,e5fadc0b-1d79-4604-ac32-fd3321f27933,,,
"Fluorspar, 92%, in ground",014542-23-5,,CAS also 7789-75-5,kg,geological,,0.0,natural resource/in ground,de2d220b-9fe8-4c39-bef7-a76c00d6ff33,,,
Fresh water (obsolete),,,,m3,water,,,water/surface water,8bdedc25-af46-4c46-9b3a-670d0c177d8f,,,
"Gadolinium, 0.15% in bastnasite, 0.015% in crude ore, in ground",007440-54-2,,,kg,geological,,0.0,natural resource/in ground,b878ca93-d699-421e-a4b6-f694dc627062,,,
"Gallium, 0.014% in bauxite, in ground",007440-55-3,,,kg,geological,,0.0,natural resource/in ground,e2c5109f-9a68-4828-b824-eb2193864803,,,
"Gas, mine, off-gas, process, coal mining",008006-14-2,,,m3,fossil/nuclear,,,natural resource/in ground,3ed5f377-344f-423a-b5ec-9a9a1162b944,,,
"Gas, natural, in ground",008006-14-2,,,m3,fossil/nuclear,,,natural resource/in ground,7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,,,
"Gold, Au 1.4E-4%, in ore, in ground",007440-57-5,,,kg,geological,,0.0,natural resource/in ground,a8896ed6-4c9d-4b06-a356-49d8cdd9e9d7,,,
"Gold, Au 9.7E-4%, in mixed ore, in ground",007440-57-5,,,kg,geological,,0.0,natural resource/in ground,cf3d3dbc-0e4b-402d-92a1-8ea6b4869ed5,,,
Guazatine,013516-27-3,,,kg,chemical,,,soil/agricultural,51a01057-22d3-533b-9831-7592ec368cdb,,,108173-90-6; 13516-27-3
Haloxyfop-P-methyl,072619-32-0,C16H13ClF3NO4,,kg,chemical,,,soil/agricultural,a058168e-9a1e-5126-80b6-2d202e746835,,,72619-32-0
"Helium, 0.08% in natural gas, in ground",007440-59-7,,,kg,chemical,,0.0,natural resource/in ground,4c276350-de3d-4bba-90a9-0d0a9ad097c0,,,
"Helium, in natural gas, in ground",007440-59-7,He,,kg,chemical,,1.0,natural resource/in ground,b6381644-4633-5bc6-9e90-c5d0514f9363,,,
Hydrochloric acid,007647-01-0,,,kg,chemical,,,air/unspecified,c9a8073a-8a19-5b9b-a120-7d549563b67b,,,185912-82-7; 124760-64-1; 2647-01-0; 7698-05-7; 7647-01-0
"Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd, in ground",007440-74-6,,,kg,geological,,0.0,natural resource/in ground,e5cbe371-d33e-46ef-a832-a176f5e28520,,,
"Iodine, 0.03% in water",007553-56-2,,,kg,chemical,,,natural resource/in water,7de77239-7074-4443-9dc9-4492c5e2ef35,,,
"Iodine, in water",007553-56-2,I,,kg,chemical,,,natural resource/in water,36a3d172-7373-507f-85bd-12b8ba31a6d4,,,
Ioxynil methyl ester,002436-73-9,,,kg,chemical,,,soil/agricultural,a5a8cee4-65ed-5e02-a1d1-9f81d88223c8,,,
"Iron, 46% in ore, 25% in crude ore, in ground",007439-89-6,,,kg,geological,,0.0,natural resource/in ground,f77aacc3-2c22-4bda-99ab-fe1110a1b891,,,
"Iron, 72% in magnetite, 14% in crude ore, in ground",007439-89-6,Fe,,kg,geological,,0.0,natural resource/in ground,99c56f25-9ebb-4e6a-a3e2-e4dc61e9d697,,,
"Kieserite, 25% in crude ore, in ground",014567-64-7,,,kg,geological,,0.0,natural resource/in ground,38eff837-5465-47a9-a1c9-e1edd70922ef,,,
"Krypton, in air",007439-90-9,,,kg,chemical,,,natural resource/in air,4602b501-1c9b-4af7-bb1c-864c70c3e855,,,
Krypton-85,013983-27-2,,,kBq,chemical,,,water/ground-,b8c4cd64-27cd-43ca-ac5e-011ebdbee7ec,,,13983-27-2
Krypton-85,013983-27-2,,,kBq,chemical,,,"water/ground-, long-term",429b04bf-fbdb-4416-b5b8-aa2d0e202a98,,,13983-27-2
Krypton-85,013983-27-2,,,kBq,chemical,,,water/ocean,30614997-3952-4e2a-bde2-4bce2cada098,,,13983-27-2
Krypton-85,013983-27-2,Kr,,kBq,chemical,,,water/surface water,ae0d3325-09c1-45ad-90d0-a9b2097b707d,,,13983-27-2
Krypton-85,013983-27-2,,,kBq,chemical,,,water/unspecified,4f46f2a8-545c-44d8-a40d-3e49571dcd51,,,13983-27-2
"Lanthanum, 7.2% in bastnasite, 0.72% in crude ore, in ground",007439-91-0,,,kg,geological,,0.0,natural resource/in ground,d61418f3-c1a4-4b95-807c-06b7e1fa2915,,,
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground",007439-92-1,,,kg,geological,,0.0,natural resource/in ground,4f701354-38fd-40b0-8c90-4c1df36ec45a,,,
"Lead, Pb 0.014%, in mixed ore, in ground",007439-92-1,,,kg,geological,,0.0,natural resource/in ground,2d9f9c6b-8dca-4641-8ff9-53cb8beabd13,,,
"Lithium, 0.15% in brine, in ground",007439-93-2,,,kg,geological,,0.0,natural resource/in ground,a9ad523f-b721-4f07-ad9f-584053f3454d,,,
"Lithium, ion",017341-24-1,,,kg,chemical,,,water/ground-,09cf7c11-0269-4fc1-a5f3-47121a7882d3,,,17341-24-1
"Lithium, ion",017341-24-1,,,kg,chemical,,,"water/ground-, long-term",c44b0e3b-e65e-4276-aa1f-3db768757b66,,,17341-24-1
"Lithium, ion",017341-24-1,,,kg,chemical,,,water/ocean,cf88e72e-13bc-416c-ac41-7d4b24bda86a,,,17341-24-1
"Lithium, ion",017341-24-1,,,kg,chemical,,,water/surface water,e98084d6-88a2-48cf-9ad5-6462fe9cf857,,,17341-24-1
"Lithium, ion",017341-24-1,,,kg,chemical,,,water/unspecified,eb2bfdf1-1881-40e8-bebb-d674b2a79149,,,17341-24-1
"Magnesite, 60% in crude ore, in ground",000546-93-0,,,kg,geological,,0.0,natural resource/in ground,d2bf022d-9cbf-4f19-a8ec-7f507746942b,,,
"Magnesium, 0.13% in water",007439-95-4,,,kg,chemical,,,natural resource/in water,752d138f-3723-42c1-bf5c-ca5316809c4c,,,
"Magnesium, in water",007439-95-4,Mg,,kg,chemical,,,natural resource/in water,247f3d96-7da2-5adf-a399-65745bc042fb,,,
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground",007439-96-5,,,kg,geological,,0.0,natural resource/in ground,9f9f1f14-6eee-4067-b4a5-80e75fc7b295,,,
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,"air/low population density, long-term",b42ad523-227d-4774-bcc6-a5f4f7ba2bb2,,,74-89-5
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,air/lower stratosphere + upper troposphere,78457869-af20-404f-a3bf-bad384fc177b,,,74-89-5
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,air/non-urban air or from high stacks,a7284b4f-39ea-40a8-8207-91e77c455a08,,,74-89-5
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,air/unspecified,ec420d84-577b-402e-bd90-f8a4b2310135,,,74-89-5
Methyl amine,000074-89-5,CH5N,,kg,chemical,,,air/urban air close to ground,7238734e-18ef-4759-914d-61e9ed11bd4e,,,74-89-5
Methyl borate,000121-43-7,,,kg,chemical,,,water/ground-,81057475-9f8a-47ff-8c0b-ce702467fa72,,,1212-43-7; 3349-42-6; 121-43-7
