Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Samarium, 0.3% in bastnasite, 0.03% in crude ore, in ground",007440-19-9,,,kg,geological,,0.0,natural resource/in ground,f46130cc-dbd4-4a3b-a537-5efbcd89063f,,,
"Sand, unspecified, in ground",007631-86-9,O2Si,,kg,geological,,1.0,natural resource/in ground,423ef039-6057-4f63-94bd-e9410d024bd0,,,
"Silver, 0.01% in crude ore, in ground",007440-22-4,,,kg,geological,,0.0,natural resource/in ground,bc153c00-6c93-412f-aadc-750f2fc6f9c7,,,
"Silver, Ag 9.7E-4%, in mixed ore, in ground",007440-22-4,,,kg,geological,,0.0,natural resource/in ground,cfaa80f4-8e19-4fd6-942a-eaea14812896,,,
"Sodium sulphate, various forms, in ground",007757-82-6,Na2SO4,,kg,geological,,1.0,natural resource/in ground,5bbcdc6d-b1a7-4b63-b625-76060c767de7,,,
"Sylvite, 25 % in sylvinite, in ground",007447-40-7,,Kali,kg,geological,,0.0,natural resource/in ground,d80610f2-df83-4e2a-9dc3-f74fced6577f,,,
"Sylvite, in ground",007447-40-7,KCl,Potassium chloride,kg,geological,,1.0,natural resource/in ground,b1e13de6-e0a4-56b6-b096-7ab1171d60e3,,,
"Tantalum, 81.9% in tantalite, 1.6E-4% in crude ore, in ground",007440-25-7,,,kg,geological,,0.0,natural resource/in ground,5f1d740e-804d-4080-8ef9-aeaa0d8e1115,,,
"Tellurium, 0.5ppm in sulfide, Te 0.2ppm, Cu and Ag, in crude ore, in ground",013494-80-9,,,kg,geological,,0.0,natural resource/in ground,7a81cd45-7f4c-40b3-989c-6a65f42df999,,,
"Tin, 79% in cassiterite, 0.1% in crude ore, in ground",007440-31-5,,,kg,geological,,0.0,natural resource/in ground,31b4eea9-640e-4056-ac2f-0555627af18a,,,
"Volume occupied, final repository for low-active radioactive waste",,,nicht für Gesamtvolumen des Stollens,m3,other,,,natural resource/in ground,f6df5030-8e06-4276-bfeb-219db8dab104,,,
"Volume occupied, final repository for radioactive waste",,,nicht für Gesamtvolumen des Stollens,m3,other,,,natural resource/in ground,adb4b590-7fb2-47b6-84e7-d4746a94c7b5,,,
"Volume occupied, underground deposit",,,nicht für Gesamtvolumen des Stollens,m3,other,,,natural resource/in ground,8bd1295e-4af1-4177-88a2-6f56ac8e4546,,,
"Water, unspecified natural origin",007732-18-5,H2O,,m3,water,,,natural resource/in ground,478e8437-1c21-4032-8438-872a6b5ddcdf,,,
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground",007440-66-6,,,kg,geological,,0.0,natural resource/in ground,3faef344-9e52-47a3-a317-e17b824cc540,,,
"Zinc, Zn 0.63%, in mixed ore, in ground",007440-66-6,,,kg,geological,,0.0,natural resource/in ground,f8f1ba14-9934-4678-8a78-e2cf1fce7775,,,
"Zirconia, as baddeleyite, in ground",001314-23-4,,,kg,geological,,1.0,natural resource/in ground,e07b4402-abe3-4346-8c42-051c5983bd1e,,,
"Zirconium, 50% in zircon, 0.39% in crude ore, in ground",007440-67-7,,Zircat,kg,geological,,0.0,natural resource/in ground,fcee6eab-e906-4ddf-bc14-2b131b937893,,,
