Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
"Fish, atlantic mackerel, scomber scombrus, in ocean",,,"Fish, atlantic mackerel, scomber scombrus, in ocean",kg,Raw materials,Raw materials,7621BC98-B01B-48C2-852A-9F7470DE4266,
"Fish, common sole, solea solea, in ocean",,,"Fish, common sole, solea solea, in ocean",kg,Raw materials,Raw materials,C49C9531-10D8-4406-A542-E7B42DFBE15E,
"Fish, european seabass, dicentrarchus labrax, in ocean",,,"Fish, european seabass, dicentrarchus labrax, in ocean",kg,Raw materials,Raw materials,AC070594-CB4E-47C0-A9D1-CB1F44F0E3F9,
"Fish, japanese anchovy, engraulis japonicus, in ocean",,,"Fish, japanese anchovy, engraulis japonicus, in ocean",kg,Raw materials,Raw materials,797EC2B6-7778-422B-8DE4-A89430DC5AD1,
"Fish, pacific chub mackerel, scomber japonicus, in ocean",,,"Fish, pacific chub mackerel, scomber japonicus, in ocean",kg,Raw materials,Raw materials,31340F63-8107-4941-A4BA-3A92E81F644D,
"Fish, skipjack tuna, katsuwonus pelamis, in ocean",,,"Fish, skipjack tuna, katsuwonus pelamis, in ocean",kg,Raw materials,Raw materials,3F7C2466-AA2E-40E1-81F3-BE8DDC134434,
"Fish, turbot, psetta maxima, in ocean",,,"Fish, turbot, psetta maxima, in ocean",kg,Raw materials,Raw materials,23ED30B7-0CB3-4F10-A137-AF0661C3A3E7,
"Fish, unspecified, in ocean",,,"Fish, unspecified, in ocean",kg,Raw materials,Raw materials,612C2AF0-3EF0-4FA2-B3F6-F44A6370E521,
"Fish, yellowfin tuna, thunnus albacares, in ocean",,,"Fish, yellowfin tuna, thunnus albacares, in ocean",kg,Raw materials,Raw materials,CBD2CF3C-CB9A-4264-AD58-362CD0F9CD85,
Forestry,,,Forestry,m2a,Raw materials,Raw materials,9F3DC3CE-BE16-4D43-96A3-AA42BE061FF5,
Fuller's earth,,,Fuller's earth,kg,Raw materials,Raw materials,55826ADE-C15B-4CEC-B45B-DDDE2E6ECCC7,
"Garnet, industrial",,,"Garnet, industrial",kg,Raw materials,Raw materials,4E043353-1866-4809-8D27-981AB171E20A,
"Gas, mine, off-gas, process, coal mining/kg",008006-14-2,,"Gas, mine, off-gas, process, coal mining/kg",kg,Raw materials,Raw materials,E7A3A823-4B3E-48A8-A8A4-D6EE7401D18F,Higher heating value (HHV): 49.8 MJ/kgLower heating value (LHV): 44.9 MJ/kg
"Gas, mine, off-gas, process, coal mining/m3",008006-14-2,,"Gas, mine, off-gas, process, coal mining/m3",m3,Raw materials,Raw materials,2225FEF1-D3FF-4DD1-94A4-1356CFE8F462,Higher heating value (HHV): 39.8 MJ/m3Lower heating value (LHV): 35.8 MJ/m3
"Gas, natural, 30.3 MJ per kg",008006-14-2,,"Gas, natural, 30.3 MJ per kg",kg,Raw materials,Raw materials,43DD82AC-4636-4823-93B5-073945DBC9BB,Higher heating value (HHV): 33.6 MJ/kgLower heating value (LHV): 30.3 MJ/kg
"Gas, natural, 35 MJ per m3",008006-14-2,,"Gas, natural, 35 MJ per m3",m3,Raw materials,Raw materials,A2561BE9-74D1-466F-BB61-C4B494AC90A9,Higher heating value (HHV): 38.9 MJ/m3Lower heating value (LHV): 35.0 MJ/m3
"Gas, natural, 36.6 MJ per m3",008006-14-2,,"Gas, natural, 36.6 MJ per m3",m3,Raw materials,Raw materials,4E5E933C-B2B5-49D5-90B1-E93B29D75EC8,Higher heating value (HHV): 40.6 MJ/m3Lower heating value (LHV): 36.6 MJ/m3
"Gas, natural, 46.8 MJ per kg",008006-14-2,,"Gas, natural, 46.8 MJ per kg",kg,Raw materials,Raw materials,207BBB81-8374-4279-9414-89413CC819C2,Higher heating value (HHV): 52.0 MJ/kgLower heating value (LHV): 46.8 MJ/kg
"Gas, natural, feedstock, 35 MJ per m3",008006-14-2,,"Gas, natural, feedstock, 35 MJ per m3",m3,Raw materials,Raw materials,1E13B93D-08FE-47E3-9B7E-8C6D3B9B1E37,Higher heating value (HHV): 38.9 MJ/m3Lower heating value (LHV): 35.0 MJ/m3
"Gas, natural, feedstock, 46.8 MJ per kg",008006-14-2,,"Gas, natural, feedstock, 46.8 MJ per kg",kg,Raw materials,Raw materials,D4D74F34-2852-4828-B0C1-121C7C61D3FD,Higher heating value (HHV): 52.0 MJ/kgLower heating value (LHV): 46.8 MJ/kg
"Gas, natural/kg",008006-14-2,,"Gas, natural/kg",kg,Raw materials,Raw materials,3EE7D0E5-D96A-433F-A91E-436C4A08CA04,Synonyms: Natural gasHigher heating value (HHV): 47.9 MJ/kgLower heating value (LHV): 43.1 MJ/kg
